node,node_type,degree,betweenness,closeness
oats,Food,3,0,0.002457329928754695
eggs,Food,2,0,9.893046266816755e-5
milk,Food,12,199,0.0030110338900500144
walnuts,Food,3,0,0.0030218084309126874
chia seeds,Food,10,0,0.0029979848712397795
banana,Food,11,0,0.0030074042641194763
apple,Food,11,0,0.0029789554073381378
blackberries,Food,11,0,0.0025655867218734195
strawberries,Food,11,0,0.0028436830455079555
mango,Food,11,0,0.0029630528732222327
"rice, cooked",Food,9,50,0.0030310778495598314
"pasta, cooked",Food,9,0,0.003024893864530929
"bread, whole wheat",Food,9,0,0.002941770975413481
"chicken breast, cooked",Food,10,0,0.002994954316389757
"tofu, firm",Food,5,0,0.0025248230530715175
"broccoli, raw",Food,11,0,0.002841058221740687
"potatoes, baked",Food,10,0,0.0030227897239390907
chicken thigh,Food,12,515,0.0030429018453823693
"turkey, ground",Food,12,0,0.003018460260660227
quinoa,Food,9,0,0.002825212175049754
tuna,Food,11,0,0.002898290611401801
canned salmon,Food,11,0,0.0029067314704837224
"sardines, canned in water",Food,12,0,0.00277094738910435
"cottage cheese, low fat",Food,12,2,0.003000368098646984
"mozzarella, part-skim",Food,12,0,0.0030210131120947774
"beef, ground 90% lean",Food,12,0,0.003013449834988753
"beef, ground 80% lean",Food,12,21,0.0030235287910226477
shrimp,Food,7,0,0.002806536267953838
"greek yogurt, plain, nonfat",Food,10,36,0.0030351129661623476
frozen mixed vegetables,Food,10,0,0.002772720403495761
"spinach, raw",Food,11,0,0.002266210234828084
"lentils, cooked",Food,10,0,0.0029995144185770224
"black beans, canned",Food,11,0,0.0029180031931975033
"pinto beans, canned",Food,9,0,0.0029571779446405095
"kidney beans, canned",Food,10,0,0.0030312346871308946
"mushrooms, raw",Food,9,0,0.002287509621533189
"tortilla, flour",Food,8,0,0.002950110474991288
"bagel, plain",Food,9,0,0.0029815044613134565
hummus,Food,10,50,0.002815842511040354
"tomato soup, canned",Food,10,0,0.0029091117252423855
