"nutrientName","value","unitName","food","value_per_100kcal"
"Energy",884,"kcal","oats",100
"Energy",3699,"kJ","oats",100
"Vitamin E (alpha-tocopherol)",14.4,"mg","oats",1.6289592760181
"Energy",55,"kcal","eggs",100
"Energy",231,"kJ","eggs",100
"Energy",446,"kcal","milk",100
"Energy",1865,"kJ","milk",100
"Calcium, Ca",172,"mg","milk",38.5650224215247
"Iron, Fe",3.58,"mg","milk",0.802690582959641
"Magnesium, Mg",22,"mg","milk",4.93273542600897
"Potassium, K",114,"mg","milk",25.5605381165919
"Zinc, Zn",0.67,"mg","milk",0.150224215246637
"Vitamin C, total ascorbic acid",0.2,"mg","milk",0.0448430493273543
"Folate, total",90,"µg","milk",20.1793721973094
"Vitamin B-12",0.08,"µg","milk",0.0179372197309417
"Vitamin A, RAE",16,"µg","milk",3.58744394618834
"Vitamin E (alpha-tocopherol)",1.22,"mg","milk",0.273542600896861
"Energy",94,"kcal","yogurt",100
"Energy",394,"kJ","yogurt",100
"Calcium, Ca",118,"mg","yogurt",125.531914893617
"Iron, Fe",1.06,"mg","yogurt",1.12765957446809
"Magnesium, Mg",40,"mg","yogurt",42.5531914893617
"Potassium, K",47,"mg","yogurt",50
"Zinc, Zn",0.31,"mg","yogurt",0.329787234042553
"Vitamin C, total ascorbic acid",2.5,"mg","yogurt",2.65957446808511
"Folate, total",6,"µg","yogurt",6.38297872340426
"Vitamin A, RAE",2,"µg","yogurt",2.12765957446809
"Vitamin E (alpha-tocopherol)",0.31,"mg","yogurt",0.329787234042553
"Energy",346,"kcal","banana",100
"Energy",1448,"kJ","banana",100
"Calcium, Ca",22,"mg","banana",6.35838150289017
"Iron, Fe",1.15,"mg","banana",0.332369942196532
"Magnesium, Mg",108,"mg","banana",31.2138728323699
"Potassium, K",1491,"mg","banana",430.924855491329
"Zinc, Zn",0.61,"mg","banana",0.176300578034682
"Vitamin C, total ascorbic acid",7,"mg","banana",2.02312138728324
"Folate, total",14,"µg","banana",4.04624277456647
"Vitamin A, RAE",12,"µg","banana",3.46820809248555
"Vitamin E (alpha-tocopherol)",0.39,"mg","banana",0.11271676300578
"Energy",254,"kcal","apple",100
"Energy",1063,"kJ","apple",100
"Calcium, Ca",30,"mg","apple",11.8110236220472
"Iron, Fe",1.1,"mg","apple",0.433070866141732
"Magnesium, Mg",13,"mg","apple",5.11811023622047
"Potassium, K",90,"mg","apple",35.4330708661417
"Zinc, Zn",1.03,"mg","apple",0.405511811023622
"Vitamin C, total ascorbic acid",0.5,"mg","apple",0.196850393700787
"Folate, total",57,"µg","apple",22.4409448818898
"Vitamin B-12",0.2,"µg","apple",0.078740157480315
"Vitamin A, RAE",94,"µg","apple",37.007874015748
"Energy",108,"kcal","rice, cooked",100
"Energy",454,"kJ","rice, cooked",100
