food,keystone_score,keystone_rank,degree.x,betweenness.x,closeness.x,degree.y,betweenness.y,closeness.y
"rice, cooked",0.6238067758850891,1,21,0,0.00628930817610062,9,168,0.00305904233438612
milk,0.5836963733791801,2,21,0,0.00625,12,116,0.00303298196392796
"mozzarella, part-skim",0.2931203238615479,3,21,0,0.00628930817610062,12,51,0.00305042263803181
eggs,0.12765202568308567,4,21,170.5,0.0119047619047619,2,0,1.5352306116391557e-4
yogurt,0.10933731034062437,5,21,0,0.00625,11,32,0.00299506479598902
"cottage cheese, low fat",0.09803736137249716,6,21,0,0.00628930817610062,12,10,0.00303615233342359
"sardines, canned in water",-8.395934827681361e-4,7,21,0,0.00628930817610062,12,0,0.00287587502899027
banana,-0.023919182031045573,8,21,0,0.00625,11,0,0.0030420150166721098
apple,-0.029239115011556693,9,21,0,0.00628930817610062,11,0,0.00300865157158186
canned salmon,-0.0411094666359136,10,21,0,0.00628930817610062,11,0,0.00297236722707171
"broccoli, raw",-0.06018627436915676,11,21,0,0.00625,11,0,0.00293115666011953
"beans, canned",-0.06195238902204729,12,21,0,0.00625,11,0,0.00292575814164781
"carrots, raw",-0.07354735424306486,13,21,0,0.00625,11,0,0.00289031557634087
"chicken breast, cooked",-0.09131899615965137,14,21,0,0.00628930817610062,10,0,0.00303847667597468
"potatoes, baked",-0.09334967151558991,15,21,0,0.00625,10,0,0.00304937136751161
"lentils, cooked",-0.0982066017649888,16,21,0,0.00625,10,0,0.00303452509033231
frozen mixed vegetables,-0.14412339240384434,17,21,0,0.00628930817610062,10,0,0.0028770684072387
"pasta, cooked",-0.15915420875336328,18,21,0,0.00628930817610062,9,0,0.00305070934203447
"bread, whole wheat",-0.17661888643530874,19,21,0,0.00628930817610062,9,0,0.00299732470762565
"spinach, raw",-0.19703849126706807,20,21,0,0.00625,11,0,0.00251283771371927
oats,-0.20019883893247417,21,21,0.5,0.0099009900990099,3,0,0.00266301018456155
"tofu, firm",-0.3848477084941814,22,21,0,0.0075187969924812,5,0,0.00270425467737156
